gene_id	chromosome	start	end	gene_name
ENSG00000223972	1	11869	14412	DDX11L1
ENSG00000227232	1	14363	29806	WASH7P
ENSG00000243485	1	29554	31109	MIR1302-10
ENSG00000237613	1	34554	36081	FAM138A
ENSG00000268020	1	52473	54936	OR4G4P
ENSG00000240361	1	62948	63887	OR4G11P
ENSG00000186092	1	69091	70008	OR4F5
ENSG00000238009	1	89295	133566	RP11-34P13.7
ENSG00000239945	1	89551	91105	RP11-34P13.8
ENSG00000233750	1	131025	134836	CICP27
ENSG00000237683	1	134901	139379	AL627309.1
ENSG00000268903	1	135141	135895	RP11-34P13.15
ENSG00000269981	1	137682	137965	RP11-34P13.16
ENSG00000239906	1	139790	140339	RP11-34P13.14
ENSG00000241860	1	141474	173862	RP11-34P13.13
ENSG00000222623	1	157784	157887	RNU6-1100P
ENSG00000241599	1	160446	161525	RP11-34P13.9
ENSG00000228463	1	227615	267253	AP006222.2
ENSG00000241670	1	228292	228775	AP006222.1
ENSG00000237094	1	317720	453948	RP4-669L17.10
ENSG00000250575	1	326096	328112	RP4-669L17.8
ENSG00000233653	1	329431	332236	CICP7
ENSG00000224813	1	334126	334305	RP4-669L17.4
ENSG00000235249	1	367640	368634	OR4F29
ENSG00000269732	1	379105	379467	WBP1LP7
ENSG00000256186	1	450820	450910	AL732372.1
ENSG00000236601	1	453633	460480	RP4-669L17.2
ENSG00000236743	1	459656	461954	RP5-857K21.15
ENSG00000236679	1	470971	471355	RP4-669L17.1
ENSG00000231709	1	521369	523833	RP5-857K21.1
ENSG00000235146	1	523009	530148	RP5-857K21.2
ENSG00000239664	1	529833	532878	RP5-857K21.3
ENSG00000230021	1	536816	659930	RP5-857K21.4
ENSG00000223659	1	562757	564390	RP5-857K21.5
ENSG00000225972	1	564442	564813	MTND1P23
ENSG00000225630	1	565020	566063	MTND2P28
ENSG00000237973	1	566454	567996	hsa-mir-6723
ENSG00000229344	1	568137	568818	RP5-857K21.7
ENSG00000240409	1	568915	569121	MTATP8P1
ENSG00000248527	1	569076	569756	MTATP6P1
ENSG00000198744	1	569756	570302	RP5-857K21.11
ENSG00000268663	1	610222	610645	WBP1LP6
ENSG00000185097	1	621059	622053	OR4F16
ENSG00000229376	1	657472	660283	CICP3
